Popularity,Gender Equity,Sustainability,Inclusivity,Relevance and Innovation,Safety and Fairness,SessionIdx,SessionIntro
0.0883273219891668,0.9223365468008723,0.5103075794535875,0.943705061830532,0.44382219659896344,0.14982426605818727,1,0
0.08390106430228442,0.9170585246439524,0.5135763239569552,0.9276983926279736,0.4858289395329306,0.12286299631296234,2,1
0.09544249950022143,0.9301576327188279,0.5234843484609192,0.9224252063174239,0.4612580437943865,0.10588061008903653,3,1
0.09152704442010366,0.9191893832836657,0.6033088584024446,0.9158774951910627,0.4985856904938043,0.08407404842750557,4,1
0.08360896858172086,0.9207631166900212,0.5302722173820681,0.9135264784796806,0.47657049440796906,0.10288682413017848,5,1
0.09105187477404121,0.9183874848442182,0.4845086065875526,0.9153053494931069,0.5122343809420826,0.12480639912582271,6,1
0.08811869547785968,0.9198688531409172,0.5422226272906414,0.9303690784961525,0.45491332077252616,0.10887640564553744,7,1
0.08603641686720247,0.9040837431149044,0.5164213995863366,0.9323384852488799,0.48715022516310436,0.10908671677570039,8,1
0.09194466107971633,0.9266234544689297,0.46188011923770195,0.9153292769581218,0.4921281909206276,0.15273109732119303,9,1
0.0893296799606524,0.9258455928920483,0.5387910368733703,0.935489231189166,0.5098599443949533,0.12168361859302404,10,1
0.07676172703206836,0.9265170647836601,0.5838439091735571,0.9242590433705963,0.49900810270056717,0.08200263632158028,11,1
0.08906170730685553,0.9260239856098539,0.5326894829711691,0.929388472794857,0.4678860648058781,0.12485373629102797,12,1
0.09230369505712274,0.9266208831173255,0.5338410033545025,0.9413440139556719,0.464455851668826,0.12424928148822847,13,1
0.08470796953956904,0.9133114498012157,0.4991106483213153,0.9325583429814837,0.4799787816258076,0.14381475937002366,14,1
0.07299140697030798,0.9116245443259942,0.5359204176893069,0.9260055240325302,0.4581272130469983,0.11181217189450664,15,1
0.08762259524619843,0.9261352556787955,0.5767628084289106,0.9209382395986474,0.44661560904216613,0.10366385534626939,16,1
0.08565912022736916,0.9280416640690805,0.5004448009809846,0.9106957227257607,0.47840771910996316,0.11669591192779058,17,1
0.08498279522191522,0.9185407769965629,0.4937836656947781,0.9223377698132541,0.5241032100261125,0.1470735376836064,18,1
0.08774852496189792,0.9260002724003383,0.5044731065699671,0.9264729264061117,0.5116790621439269,0.1276679009219332,19,1
0.08121614376752449,0.9173637699859517,0.4999189796590002,0.9201575658011216,0.49821189561974544,0.14332653909595466,20,1
0.08952089762764645,0.9204973452946581,0.5652853331753032,0.9271233980342827,0.5213609706422263,0.08871739463904592,21,1
0.08986510256558876,0.9330216772142668,0.5288582366887717,0.9288186110774357,0.4818373712734803,0.10350351266921727,22,1
0.07036934586381942,0.9106990584884156,0.573735201324762,0.9263611556978097,0.5064925050220269,0.10499859011657109,23,1
0.07882487242735882,0.9088891098304117,0.590577248418352,0.9229004248063639,0.4835035964823091,0.07969168298000458,24,1
0.0851866152354806,0.9264416285187835,0.5950512456061718,0.9295666097429869,0.5066344559698661,0.09594893668101658,25,1
0.08515127113141704,0.924801365622601,0.4540285348322721,0.9317940064256115,0.4679799287973621,0.14189829741967283,26,1
0.08493018603510855,0.9198929247243054,0.3622962028045559,0.9193182148684683,0.4116796887153886,0.2553035211105701,27,1
0.07959453920664022,0.9195388277615467,0.5393269062378215,0.9397000592429574,0.4862908893150659,0.09902252566965082,28,1
