ID,Sport Name,daily_visitors,media_coverage,ticket_sales,female_athletes,male_athletes,avg_female_salary,avg_male_salary,media_spend,emissions,total_waste,recycled_waste,initial_investment,NPV,race_deviation,country_deviation,regional_deviation,generation_participation,youth_viewers,safety_violations,injury_severity,sanctions,total_checks,judge_impartiality,race_alpha,country_beta,regional_gamma
1,Archery,234934,3.612309584112914,522873.96307836496,59,56,36020.96584993605,40452.30619112221,5600268.145173783,2378.544551973509,5450.67393279607,2843.8061256619767,11306649.924897108,17869321.90300112,1.0,1.0,0.6575595342876503,74.1656015169937,31.665860606732828,1.0,2.857257981362821,0.0,57.0,12.0,0.64794686,0.22987118,0.12218196
2,Archery,222235,3.1021837635615785,556763.177926655,64,51,30983.504027467123,33389.41062570181,5962409.7460833015,2515.830506026486,5450.371147840786,2705.1486147186865,11779692.75435673,18635210.78622799,1.0,1.0,0.5594669593092689,95.98328204894028,32.52215268566069,1.0,3.171730604299303,0.0,71.0,10.0,0.64794686,0.22987118,0.12218196
3,Archery,237954,3.7958382932808297,587749.3639490228,56,48,36358.81776031698,34656.351022630006,5063638.989218851,2289.304233940294,5464.182474391309,2843.0743757580713,11179501.221940909,17146532.33805556,1.0,1.0,0.5270796616544768,81.41805579408155,32.17773480619622,1.0,3.7332328209142114,0.0,58.0,9.0,0.64794686,0.22987118,0.12218196
4,Archery,255461,2.9544446811623155,605787.759708506,58,57,37816.91357641485,41976.424329079506,5816204.8730920255,2391.800751517703,6663.3739917804205,2948.324507259097,11736501.643826203,14929752.07806623,1.0,1.0,0.48681428036935864,91.91397491288919,34.207064616101164,1.0,3.080650340658096,0.0,55.0,10.0,0.64794686,0.22987118,0.12218196
5,Archery,220317,3.551057128140081,502485.17964721116,60,52,34990.3047096711,39973.0290334478,5708226.104106529,2232.0528611425543,5815.967726115778,2824.7150175814263,11314474.414810121,17474531.92762896,1.0,1.0,0.47234301618720276,100.0,31.282740202853397,1.0,3.235678721307184,0.0,61.0,9.0,0.64794686,0.22987118,0.12218196
6,Archery,220317,4.032136687742994,545774.9382079525,54,49,39380.387437674195,38731.05832276562,5871225.632004075,2538.0234430898945,5840.020823595535,2822.6479228009703,9274533.433646128,15897964.659312258,1.0,1.0,0.4832932028497255,82.64492326730861,37.11309200197341,1.0,3.513618267975569,0.0,59.0,9.0,0.64794686,0.22987118,0.12218196
7,Archery,256584,3.0778391024607936,538752.7344419522,57,53,31428.63240268928,39439.51876572888,5769584.321953909,2114.721539588146,6140.141727015921,2637.002078048311,10310664.606181245,16082074.977375366,1.0,1.0,0.5758563325505742,69.75769981802935,33.750621194754586,1.0,3.6100171527847786,0.0,58.0,10.0,0.64794686,0.22987118,0.12218196
8,Archery,240349,3.2051106811191685,529833.5383713144,56,51,30016.035890065752,40591.53596876585,6852650.069955447,2610.188086582163,5744.394579513257,2646.774770612263,11105912.444278385,17754546.02813264,1.0,1.0,0.5879362511614967,87.7119662249591,33.722099036584154,1.0,3.2995383341866513,0.0,59.0,9.0,0.64794686,0.22987118,0.12218196
9,Archery,215611,3.404895409526292,650772.7120140549,57,65,28413.839253287166,37485.84111891723,5306130.007874343,2241.9684098711314,5495.478927089649,2461.8486820500766,10040305.257158892,18732424.607150454,1.0,1.0,0.4834404648983933,98.80767707998857,32.76631585046125,1.0,3.1957469415925077,0.0,67.0,10.0,0.64794686,0.22987118,0.12218196
10,Archery,235851,3.2239573037651406,582749.0855480478,52,61,38238.132934467554,36650.93346109191,5359501.522499092,1963.8449795763904,5526.825075457511,3249.894185796735,11849928.729996204,16906907.365104094,1.0,1.0,0.6072519157038058,100.0,34.215572051576935,1.0,3.801710958509552,0.0,51.0,11.0,0.64794686,0.22987118,0.12218196
11,Archery,215732,2.90980097068016,499455.8022832477,56,56,35713.09696906217,40060.45839284189,5313429.736787618,2275.620882982158,5589.199370292968,2501.5341911521787,12780750.832343698,17338249.518898446,1.0,1.0,0.538346947415828,80.16360324438067,36.225294794002906,1.0,3.896669899139274,0.0,59.0,9.0,0.64794686,0.22987118,0.12218196
12,Archery,215685,3.3955688924418084,608393.0973527388,59,64,33583.24598726863,35950.69527834738,5347261.440419872,2113.789668505024,5606.388881745079,2639.273700551023,12468761.851697316,19428322.41695286,1.0,1.0,0.5698396505992774,93.97359378589216,31.148609352867297,1.0,3.6686574152345384,0.0,52.0,11.0,0.64794686,0.22987118,0.12218196
13,Archery,229839,3.0563088858821685,668607.8098506316,64,57,34589.90587895946,40803.884645000646,5306306.436346741,2418.1287097977447,5988.81477181849,2632.898183607701,11036557.129069792,17236129.769232854,1.0,1.0,0.6431110314127713,86.27751634575958,31.775650532774232,1.0,3.4005954427695073,0.0,59.0,11.0,0.64794686,0.22987118,0.12218196
14,Archery,186734,3.5170777291905546,614123.2630275574,61,52,30373.53285810487,33415.95738516756,6219508.265553776,2119.475204139522,5650.97294290365,3036.2310942361105,12740726.136849951,20777524.671270594,1.0,0.9904020319753252,0.6073419657932766,89.15241316556691,32.83882191367,1.0,3.132520283507722,0.0,52.0,11.0,0.64794686,0.22987118,0.12218196
15,Archery,190502,3.099172729729859,486531.5017022993,67,64,41087.255938850474,42977.04473063975,6335252.123994928,2160.763313357044,5991.320038607789,2738.7625804269933,11398667.457202112,17723264.468447316,1.0,1.0,0.5490734676047084,100.0,29.712387229580354,1.0,3.1258666780330304,0.0,54.0,10.0,0.64794686,0.22987118,0.12218196
16,Archery,213754,3.8399803215052617,538288.2963566874,52,59,34137.66354592568,41029.09118844565,5339626.853125262,1872.0918538108938,5584.641709945709,3124.4355181684336,10912914.028881961,14233855.861266272,1.0,1.0,0.5179403887292356,77.97623737283877,31.292226420835505,1.0,3.5317542315797272,0.0,55.0,11.0,0.64794686,0.22987118,0.12218196
17,Archery,204743,3.140024012299129,625845.5574593311,61,51,34078.18438381468,40271.10407009857,5208822.213447886,2159.538736150185,5664.317595158045,2644.127343939033,10636597.33645906,18005012.4316568,1.0,1.0,0.4549092299335348,92.0299172919566,32.32133737936602,1.0,3.5005194662666046,0.0,61.0,9.0,0.64794686,0.22987118,0.12218196
18,Archery,231285,3.278381545138297,527116.526719061,57,55,35927.29987169607,42814.4184438093,5860707.778193202,1765.2241346742085,4625.899657733946,2882.2485405559505,10947530.31351187,17446737.577324167,1.0,1.0,0.526542334037879,93.74154537412346,36.373167542138184,1.0,3.7954795778839285,0.0,61.0,11.0,0.64794686,0.22987118,0.12218196
19,Archery,206840,3.6190551652109013,584690.9714073114,67,52,35193.02769521014,45204.16055561901,5348888.477859515,1933.2194353028553,6083.1638373512405,2603.663236685061,10861823.181458771,18809629.131124116,1.0,1.0,0.5519434880586153,98.68629059951476,34.53768398700577,1.0,3.5701350277608417,0.0,50.0,10.0,0.64794686,0.22987118,0.12218196
20,Archery,196754,3.0057407050698135,601231.7026714669,52,49,34421.652072837394,42925.29522756346,5941465.9088777555,2402.0829312288593,5798.244237948997,3348.7872819433474,11420416.222375486,17884772.026904937,1.0,1.0,0.5131410236424407,90.78386522776717,34.33076973410263,1.0,2.9240759094720543,0.0,57.0,11.0,0.64794686,0.22987118,0.12218196
21,Archery,254313,3.4432379803812383,516153.4764210959,52,61,31378.576633664066,32931.94019033924,5726461.51042565,2407.1600317301663,6124.005054929827,2515.600395242622,11410573.981049865,16667316.02402434,1.0,1.0,0.5559371516453848,92.46440431603283,36.30269388650392,1.0,3.6905842853168758,0.0,53.0,9.0,0.64794686,0.22987118,0.12218196
22,Archery,220484,3.7671428262847284,559523.73219691,53,66,35164.405071407986,34896.48061642505,4867127.942501384,2335.091512356993,4176.872310903155,2889.9551775567566,11253046.020153414,15038552.645565953,1.0,1.0,0.5663425941479384,86.86681146062567,33.33788463480181,1.0,3.0755818118056766,0.0,50.0,9.0,0.64794686,0.22987118,0.12218196
23,Archery,226351,2.8927550296316316,400436.63299654634,46,49,39396.0734894251,37188.13497806513,6398752.600665031,2056.6047713741577,6669.187352390364,2970.944220233024,11686938.16974635,16561465.114070963,1.0,1.0,0.5512572009095961,92.15301552996087,34.92139454978667,1.0,3.2598086184142945,0.0,55.0,11.0,0.64794686,0.22987118,0.12218196
24,Archery,196505,3.430390157559691,511280.6179332855,54,59,37786.26013846493,39466.31867573792,6522938.83654776,2240.4577287716043,5555.205185922413,2915.949774362875,12440646.274786342,15599219.31868605,1.0,1.0,0.5299998709588271,87.25446179602072,33.44033474120251,1.0,3.450060061875508,0.0,55.0,9.0,0.64794686,0.22987118,0.12218196
25,Archery,214112,3.452964838274527,549871.592430342,52,53,38529.5598799182,41186.80657164193,5318605.654757806,2249.2794921818863,6179.0914083687585,2766.1780852805728,12199554.135441324,16004214.825292917,1.0,1.0,0.5709327335983364,94.97257511884841,34.546087048198885,1.0,3.9737002469351896,0.0,68.0,11.0,0.64794686,0.22987118,0.12218196
26,Archery,227218,3.609546861533193,500110.8409017575,57,54,32216.352970706444,36834.89665396287,5431149.220032007,2018.3270621614913,5105.047036437235,2780.044825066643,9765102.031550096,17757867.606630914,1.0,1.0,0.5845970324784705,87.04311731165093,32.00172402716525,1.0,4.307975566801609,0.0,58.0,9.0,0.64794686,0.22987118,0.12218196
27,Archery,201980,3.0039147867365754,644120.5651965818,58,53,30781.185539224258,40028.683675669774,5767932.695362452,2550.6796603534303,5931.386952531285,2823.4528679947775,8696078.865098044,19379856.75652711,1.0,1.0,0.5079800461278577,93.01680315121749,26.43354852517071,1.0,3.557016917740855,0.0,49.0,11.0,0.64794686,0.22987118,0.12218196
28,Archery,232514,2.978863016074717,490992.93110196834,66,52,33372.63923970106,36731.159736763366,5792228.394993513,2425.4724581151345,5098.292218413172,2775.749499592878,12184319.911239274,17467007.29473447,1.0,1.0,0.6330466189873135,89.76589749052017,33.34716251344109,1.0,3.320041014383884,0.0,53.0,9.0,0.64794686,0.22987118,0.12218196
29,Archery,212987,3.531582469685069,540497.7756651508,61,56,33917.17473686609,37234.68768952818,5954272.136336415,2205.8071652340673,5313.115519652098,3053.4697791987273,9883121.301584579,15081175.406947225,1.0,1.0,0.557570593385787,99.00840200617735,38.01824440829982,1.0,3.5353516945441648,0.0,61.0,11.0,0.64794686,0.22987118,0.12218196
30,Archery,219166,3.4640954019699564,569037.0288643045,53,52,37032.574555412844,34451.68616103122,6630102.269383174,2255.377167798906,6582.015676933393,3365.130750397838,11025234.598107316,17541904.00233021,1.0,1.0,0.5634424811472424,89.58885021129211,36.52864620672478,1.0,3.6412966277621512,0.0,67.0,11.0,0.64794686,0.22987118,0.12218196
31,Archery,212966,3.4501478551037628,634563.6644533058,52,58,28672.60611085554,36143.68363861184,5536526.386252976,2291.6765615895106,5529.658799618327,2673.127053748042,10079886.973940639,18669947.229968477,1.0,1.0,0.5979107211628278,75.81574025434495,36.64619245377351,1.0,3.2787997123328427,0.0,48.0,9.0,0.64794686,0.22987118,0.12218196
32,Archery,262046,3.478934462849093,490706.89244102803,59,56,38338.65095838184,34644.10388034283,5225851.377730774,1841.653026315142,5733.716436589862,2470.0492551052307,9448019.56241998,15960325.643520927,1.0,1.0,0.574160806563175,100.0,37.45839216541865,1.0,3.913563406773697,0.0,47.0,11.0,0.64794686,0.22987118,0.12218196
33,Archery,224730,3.1709925835264525,620658.187607748,50,55,33275.97630426304,35959.44361457934,4935340.385992737,2200.56452349588,6060.033865344378,2790.4294879121862,11791462.728204789,16673974.249990623,1.0,0.9077330453985963,0.6101568316956623,82.75414159309905,34.01597277288432,1.0,3.444021227757421,0.0,66.0,10.0,0.64794686,0.22987118,0.12218196
34,Archery,203846,3.4446761091483014,563011.6530509794,65,52,32469.35679015774,43062.74628812744,5259534.98002904,2113.6031504004404,5872.840943986303,3457.42733441358,12009155.160302646,16897032.292093795,1.0,1.0,0.5768562082600912,84.76986929080944,34.34194712221679,1.0,3.524322926727418,0.0,58.0,10.0,0.64794686,0.22987118,0.12218196
35,Archery,241451,3.4629217419896046,513424.56744760246,62,53,30713.686874219497,36052.1038890882,5608436.513563101,2049.675998021017,5700.2094525717885,2611.5813580075674,10673489.599273281,15697652.53037664,1.0,1.0,0.5318781312679781,85.23470964765207,31.89704431369695,1.0,3.5747772756163387,0.0,52.0,9.0,0.64794686,0.22987118,0.12218196
36,Archery,200583,3.1606945745920894,585605.1737131636,54,60,28785.42998440269,48588.33722693087,6522278.931758894,2193.7799414228093,5807.4805012331135,3222.279201361017,8658957.70785509,17847420.650765788,1.0,1.0,0.5805751762603051,100.0,32.80178143191885,1.0,3.5014759831843367,0.0,59.0,8.0,0.64794686,0.22987118,0.12218196
37,Archery,229177,3.9347323533434273,572452.9847786735,48,59,36219.511751885744,41101.61265308312,5366194.350481914,2609.5373053699045,6826.707792619138,3231.9252035191103,10703755.551747518,16693577.777088327,1.0,1.0,0.505313689633967,72.91460628817043,35.597313449313425,1.0,3.6266821501408835,0.0,43.0,10.0,0.64794686,0.22987118,0.12218196
38,Archery,185807,3.5171498762735363,532489.1561420603,63,51,33969.95390156521,40021.92643293206,5736893.975819449,2378.168572253402,5596.1906014832075,2674.1029395730015,11641804.005402548,17504298.66586054,1.0,1.0,0.5679279852888262,100.0,37.36165331150645,1.0,3.189824044035923,0.0,56.0,9.0,0.64794686,0.22987118,0.12218196
39,Archery,198436,3.017608950839205,565990.1042495009,56,57,29880.117300776838,36370.74776936575,5616788.551963624,2135.7642020434405,5725.549523357484,2954.7457697963187,9771088.431225872,15543761.733296849,1.0,1.0,0.560838500467777,98.44845447252843,33.331661172957006,1.0,3.2075094738161907,0.0,58.0,10.0,0.64794686,0.22987118,0.12218196
40,Archery,228937,3.5719660825901487,543234.320156912,62,60,29864.763683809153,41826.08457793147,6219196.636724043,2364.516556271232,6150.327198003806,3219.5991557821344,11433359.919779155,16218812.549514884,1.0,1.0,0.552094157136373,91.78591131303328,32.39943220544576,1.0,3.0449537301084915,0.0,61.0,10.0,0.64794686,0.22987118,0.12218196
41,Archery,239769,3.0825954989318034,568175.8672625624,48,48,32742.645902129614,37360.26760816779,6888466.212936811,2529.8710873172004,6177.762966478992,2717.7180647531286,11234690.150827006,17958572.036741655,1.0,1.0,0.5560731244280535,89.56084799506971,33.751583876569796,1.0,3.5068503691860684,0.0,51.0,11.0,0.64794686,0.22987118,0.12218196
42,Archery,228427,3.6111253811227355,595606.5337260524,53,59,38757.06457586818,39802.034351258764,5359565.613539839,2434.926736582554,6218.51515278019,2761.6049099744096,11829291.499601088,16315750.271862349,1.0,1.0,0.46840754772511806,92.28443259886126,35.55362024678735,1.0,3.6086809510536337,0.0,57.0,10.0,0.64794686,0.22987118,0.12218196
43,Archery,222687,3.7225786737022215,641800.8408072676,56,53,32971.22594590919,48335.29588394078,5380280.278740888,2261.9260739840347,5944.365111014592,2667.079771512839,11369580.368414154,19465445.776850108,1.0,1.0,0.535063754612952,94.16897942703471,29.418435551599373,1.0,3.512331859845566,0.0,52.0,10.0,0.64794686,0.22987118,0.12218196
44,Archery,218978,3.1287953044944867,500609.2250586576,56,59,29240.571140645683,39038.790350963725,6147080.4385345355,2120.6126444588854,5053.497543634759,2558.8108173267833,10276931.059118444,16275545.721578097,1.0,1.0,0.5671422450570557,95.16172468760045,26.861457140588286,1.0,3.877347730004261,0.0,58.0,11.0,0.64794686,0.22987118,0.12218196
45,Archery,195430,3.6640128387732966,669151.6687328134,54,52,33012.77080774217,43397.45664199987,5965945.744813156,2389.6446627227183,6441.715766150549,2650.1806137334984,12446571.501664491,17212027.08862783,1.0,1.0,0.57049281959987,94.44483572802758,32.09838945152525,1.0,3.373321194351286,0.0,52.0,10.0,0.64794686,0.22987118,0.12218196
46,Archery,210603,3.4988342780809494,464895.6100238749,59,47,32931.82929075699,36913.8825120594,6548353.662868017,2328.69707708435,5051.827303490656,2506.514933309436,11091470.42697303,18273886.247809634,1.0,1.0,0.5111162429537021,90.71664545004198,30.087862722257523,1.0,3.575622496677754,0.0,54.0,10.0,0.64794686,0.22987118,0.12218196
47,Archery,215787,3.6216180479983473,554910.7452482209,51,48,25659.340071175284,39252.540283260634,5916964.092662982,2429.0386440055463,5776.317732619517,2821.020867064806,11222695.460490068,14747451.400600454,1.0,1.0,0.625785392043235,88.42129263754138,32.22557940705806,1.0,3.0474897371582057,0.0,51.0,11.0,0.64794686,0.22987118,0.12218196
48,Archery,246142,3.9440378947961845,591915.8603242289,56,56,33587.115400446564,45572.802224724284,5445353.95460647,2377.0343603363935,5247.862074990321,2620.0066922353394,10316732.040926803,14233786.782028835,1.0,1.0,0.519191257589275,88.7898137307719,33.30665904354758,1.0,3.25887008925768,0.0,60.0,9.0,0.64794686,0.22987118,0.12218196
49,Archery,231872,3.3013835651991386,576549.5933867516,57,58,33057.196409373966,37180.615297742814,5920327.415346155,2459.910543063867,5592.930826703504,2870.9464779476866,10806717.74880849,14586515.528144857,1.0,1.0,0.6109728600263369,88.44073375717855,32.39025477293096,1.0,3.5836613272697333,0.0,61.0,11.0,0.64794686,0.22987118,0.12218196
50,Archery,189739,3.148879150692753,531365.0240089704,59,52,35838.619094440255,45718.56995298925,6179351.790291454,2142.9529576878867,5789.38120515174,2423.526088449093,10365197.285973098,18768876.155140772,1.0,1.0,0.5838597180935843,99.07016077493651,38.10740260341223,1.0,3.629730633222943,0.0,55.0,11.0,0.64794686,0.22987118,0.12218196
